Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
21.76,31.1333333333333,437.333333333333,1029.66666666667,0.005021010890214001,1
21.79,31.0,437.333333333333,1000.0,0.005008581274802,1
21.7675,31.1225,434.0,1003.75,0.005021569132654001,1
21.7675,31.1225,439.0,1009.5,0.005021569132654001,1
21.79,31.1333333333333,437.333333333333,1005.6666666666699,0.005030297778679,1
21.76,31.26,437.333333333333,1014.3333333333301,0.005041604565303,1
21.79,31.1975,434.0,1018.5,0.0050407493823520005,1
21.79,31.393333333333302,437.333333333333,1018.6666666666699,0.005072649288293001,1
21.79,31.3175,434.0,1022.0,0.005060296173686,1
21.79,31.463333333333303,437.333333333333,1027.33333333333,0.005084052595317001,1
21.79,31.525,437.75,1047.75,0.005094098709413,1
21.79,31.575,441.75,1049.0,0.005102244443631,1
21.79,31.395,442.0,1061.5,0.005072920790783,1
21.79,31.3925,441.75,1049.0,0.005072513537136,1
21.79,31.5,441.5,1048.0,0.00509002592166,1
21.815,31.5,438.0,1049.25,0.005097869358727999,1
21.815,31.4725,449.5,1051.25,0.005093382393801,1
21.89,31.6,449.5,1060.5,0.005137856683972,1
21.79,31.55,449.5,1059.5,0.005098171550069999,1
21.823333333333302,31.73,447.666666666667,1072.0,0.005138035489523,1
21.865,31.7225,449.5,1072.33333333333,0.005150007122985,1
21.89,31.745,449.5,1075.33333333333,0.005161627932878001,1
21.89,31.7675,449.5,1087.0,0.0051653167364609995,1
21.89,31.7675,437.75,1083.25,0.0051653167364609995,1
21.89,31.79,442.666666666667,1086.33333333333,0.005169005583439,1
21.89,31.79,437.333333333333,1091.0,0.005169005583439,1
21.89,31.89,439.0,1100.0,0.005185400983919001,1
21.89,31.89,444.0,1101.0,0.005185400983919001,1
21.89,31.865,444.0,1107.0,0.005181302053436,1
21.89,31.79,444.0,1110.0,0.005169005583439,1
21.89,31.865,444.0,1101.75,0.005181302053436,1
21.89,31.73,444.0,1100.0,0.005159168754596,1
21.89,31.7225,444.0,1092.75,0.005157939172687,1
21.89,31.7,444.0,1092.5,0.005154250455887999,1
21.89,31.695,436.5,1094.0,0.005153430746936,1
21.89,31.5666666666667,434.0,1085.66666666667,0.005132392283790999,1
21.89,31.55,436.5,1047.0,0.005129660119409,0
21.89,31.36,434.0,1031.0,0.005098515127977,0
21.89,31.125,432.75,977.5,0.005059997970204001,0
21.89,31.15,436.5,961.25,0.005064095315274,1
21.89,31.0633333333333,434.0,948.0,0.005049891414628,1
21.89,30.77,429.0,913.25,0.005001821448293,1
21.89,30.7675,432.75,882.5,0.005001411792754,1
21.89,30.945,429.0,884.5,0.0050304986662820005,1
21.89,30.7925,429.0,899.0,0.005005508372229,1
21.89,30.77,432.75,888.25,0.005001821448293,1
21.89,30.795,436.5,878.5,0.005005918033121,1
21.89,30.8175,429.0,891.25,0.005009605005234999,1
21.89,30.65,436.5,896.5,0.004982158586242001,1
21.89,30.7475,429.0,889.5,0.004998134567716,1
21.89,30.7633333333333,429.0,887.333333333333,0.0050007290347130005,1
21.89,30.77,429.0,893.5,0.005001821448293,1
21.89,30.445,429.0,832.5,0.004948570716403,1
21.89,30.5666666666667,429.0,829.0,0.0049685045465,1
21.89,30.5,429.0,829.25,0.004957581742882,1
21.89,30.575,429.0,850.5,0.004969869923712,1
21.89,30.6,429.0,844.0,0.004973966091032,1
21.89,30.55,429.0,840.25,0.004965773809915,1
21.865,30.55,429.0,823.75,0.004958139614759,1
21.89,30.6,429.0,824.0,0.004973966091032,1
21.89,30.34,429.0,813.0,0.004931368566924,1
21.89,30.356666666666698,429.0,802.0,0.004934099003814,1
21.865,30.3925,429.0,810.75,0.0049323753111450005,1
21.89,30.356666666666698,429.0,805.333333333333,0.004934099003814,1
21.89,30.315,429.0,796.5,0.004927272956183,1
21.89,30.2,429.0,795.0,0.004908433835981,1
21.89,30.34,429.0,793.5,0.004931368566924,1
21.89,30.295,429.0,790.5,0.004923996506118,1
21.89,30.29,429.0,786.5,0.004923177398953,1
21.89,30.39,429.0,794.333333333333,0.004939559948944,1
21.89,30.365,429.0,795.5,0.004935464231178,1
21.89,30.426666666666698,414.0,792.666666666667,0.00494556709847,1
21.89,30.73,424.0,798.0,0.004995267023910999,1
21.89,30.4175,429.0,795.5,0.004944065300297,1
21.89,30.39,429.0,797.75,0.004939559948944,1
21.89,30.39,429.0,798.0,0.004939559948944,1
